gsis_id,display_name,position,birth_date,pfr_id,espn_id
00-0031666,Derek Akunne,LB,1993-08-17,,2574087
00-0035166,Azeez Al-Shaair,LB,1997-08-04,AlShAz00,3919117
00-0023595,Anthony Alabi,OT,1981-02-16,AlabAn20,
00-0024133,Tui Alailefaleula,DT,1982-11-05,,
00-0035103,Otaro Alaka,LB,1996-05-18,AlakOt01,3122141
00-0025445,Ikaika Alama-Francis,LB,1984-12-04,AlamIk99,10502
00-0036448,Isaac Alarcon,OT,1998-07-27,AlarIs00,4686629
00-0019857,Troy Albea,WR,1978-04-30,,
00-0026155,Branden Albert,OT,1984-11-04,AlbeBr20,3938599
ALB415290,Sergio Albert,K,1951-10-28,AlbeSe20,
00-0000119,Trev Alberts,OLB,1970-08-08,AlbeTr20,7604
ALB553720,Ted Albrecht,OT,1954-10-08,AlbrTe20,
00-0028614,Alex Albright,OLB,1988-01-29,AlbrAl00,14628
00-0032491,Bryson Albright,LB,1994-03-15,AlbrBr00,2978064
ALB622935,Ira Albright,RB,1959-01-02,AlbrIr20,
00-0000121,Ethan Albright,LS,1971-05-01,AlbrEt20,869
00-0000123,Vince Albritton,DB,1962-07-23,AlbrVi20,
00-0023911,Zac Alcorn,TE,1980-08-24,AlcoZa20,10140
ALD103822,Grady Alderman,OT,1938-12-10,AldeGr00,
00-0000126,Winston Alderson,OT,1973-12-27,,
00-0000129,Allen Aldridge,OLB,1972-05-30,AldrAl21,582
ALD415288,Allen Aldridge,DE,1945-04-27,AldrAl20,
ALD622932,Jerry Aldridge,RB,1956-09-17,AldrJe20,
00-0020665,Kevin Aldridge,DE,1980-03-03,AldrKe20,4345
00-0000130,Melvin Aldridge,S,1970-07-22,AldrMe20,7592
00-0000133,Arnold Ale,LB,1970-06-17,AlexAr20,7709
00-0000134,Ink Aleaga,LB,1973-04-04,AleaIn20,1406
00-0029099,Chas Alecxih,DT,1989-02-10,AlecCh00,15353
00-0000135,Keith Alex,G,1969-06-09,AlexKe20,
00-0034840,Adonis Alexander,DB,1996-11-07,AlexAd00,3871875
00-0029331,Alvester Alexander,RB,1990-10-17,AlexAl00,15552
00-0000136,Brent Alexander,FS,1971-07-10,AlexBr20,717
00-0000137,Bruce Alexander,DB,1965-09-17,AlexBr21,6852
ALE131142,Charles Alexander,RB,1957-07-28,AlexCh00,
00-0020487,Dan Alexander,RB,1978-03-17,AlexDa21,
00-0027912,Danario Alexander,WR,1988-08-07,AlexDa00,13935
ALE174856,Dan Alexander,G,1955-06-17,AlexDa20,
00-0040694,Darius Alexander,DT,2000-08-26,AlexDa01,4426542
00-0000144,David Alexander,C,1964-07-28,AlexDa22,6833
00-0034715,Deontez Alexander,WR,1996-07-25,AlexDe01,4055563
00-0000145,Derrick Alexander,WR,1971-11-06,AlexDe00,567
00-0000146,Derrick L. Alexander,DE,1973-11-13,AlexDe20,759
00-0032983,Dominique Alexander,ILB,1995-04-20,AlexDo01,3052651
00-0031950,D.J. Alexander,LB,1991-09-30,AlexD.00,3001171
00-0000147,Elijah Alexander,OLB,1970-08-02,AlexEl20,346
00-0022342,Eric Alexander,LB,1982-02-08,AlexEr20,6156
00-0029270,Frank Alexander,DE,1989-12-17,AlexFr00,15010
00-0025448,Gerald Alexander,DB,1984-06-28,AlexGe99,10505
00-0000149,Harold Alexander,P,1970-10-20,AlexHa20,7452
00-0034728,Jaire Alexander,CB,1997-02-09,AlexJa00,3895429
00-0000151,Jeff Alexander,RB,1965-01-15,AlexJe00,
ALE393426,John Alexander,DE,1955-11-12,AlexJo21,
00-0000154,Kevin Alexander,WR,1975-01-23,AlexKe00,8104
00-0027276,Kevin Alexander,LB,1987-07-01,AlexKe02,13798
ALE502523,Patrise Alexander,LB,1972-10-23,AlexPa20,8074
00-0023259,Lorenzo Alexander,OLB,1983-05-31,AlexLo99,9424
00-0032389,Mackensie Alexander,CB,1993-11-12,AlexMa01,3045120
00-0031393,Maurice Alexander,LB,1991-02-16,AlexMa00,16937
00-0037708,Maurice Alexander,WR,1997-01-10,AlexMa02,3914307
ALE516693,Mike Alexander,WR,1965-03-19,AlexMi00,
00-0028533,Mister Alexander,LB,1988-06-02,AlexMi01,14534
00-0022569,Roc Alexander,DB,1981-09-23,AlexRo21,5846
00-0020728,P.J. Alexander,OT,1978-12-23,AlexP.20,
ALE568282,Robert Alexander,RB,1958-04-21,AlexRo20,
ALE611996,Rogers Alexander,LB,1964-08-11,AlexRo22,
00-0025563,Rufus Alexander,LB,1983-04-12,AlexRu20,
00-0032109,Kwon Alexander,MLB,1994-08-03,AlexKw00,2976541
00-0019647,Shaun Alexander,RB,1977-08-30,AlexSh00,2150
00-0000166,Stephen Alexander,TE,1975-11-07,AlexSt00,1478
00-0032899,Vadal Alexander,OT,1994-03-23,AlexVa00,2976556
ALE655710,Ray Alexander,WR,1962-01-08,AlexRa00,
ALE699424,Vincent Alexander,RB,1964-03-11,AlexVi20,
ALE743138,Willie Alexander,DB,1949-09-21,AlexWi20,
00-0038491,Deslin Alexandre,DL,1998-06-11,AlexDe02,4240728
ALE786852,Alton Alexis,WR,1957-11-16,AlexAl20,
00-0022228,Rich Alexis,RB,1981-03-06,AlexRi00,6300
00-0035381,Joey Alfieri,LB,1996-03-06,AlfiJo01,3117242
00-0000172,Brian Alford,WR,1975-06-07,AlfoBr00,1625
00-0019677,Darnell Alford,OT,1977-06-11,AlfoDa20,
00-0037034,Dee Alford,CB,1997-11-05,AlfoDe00,4401823
00-0028705,Dominic Alford,OL,1988-02-22,AlfoDo00,14734
00-0025468,Jay Alford,NT,1983-05-28,AlfoJa99,10525
ALF553722,Lynwood Alford,LB,1963-08-22,AlfoLy20,
00-0031962,Mario Alford,WR,1992-02-25,AlfoMa00,3052686
00-0030528,Robert Alford,CB,1988-11-01,AlfoRo00,15817
00-0024763,Charles Ali,RB,1984-08-23,AlixCh00,10967
00-0038149,Josh Ali,WR,1999-03-03,AlixJo00,4259976
00-0039796,Rasheen Ali,RB,2001-02-16,AlixRa00,4690013
00-0033513,Ricky Ali'ifua,DE,1991-12-02,AliiRi00,2469470
00-0033217,Mo Alie-Cox,TE,1993-09-19,AlieMo00,2998565
00-0000178,Tuineau Alipate,LB,1967-08-21,AlipTu20,7752
00-0039814,Erick All,TE,2000-09-13,AllxEr00,4427834
00-0025618,Michael Allan,TE,1983-09-08,,
00-0041565,Drew Allar,QB,2004-03-08,AllaDr00,4714771
00-0029471,Shea Allard,OT,1989-08-27,,15601
00-0000179,Raul Allegre,K,1959-06-15,allegrau01,
